trip_id,route,direction,stop_sequence,arrival_time,departure_time,stop_id,estimated_passenger_count,required_pods
MQ_A5-Weekday-SDon-146500_M22_263,M22,d1,1,24:25:00,24:25:00,402100,1.0,1
MQ_A5-Weekday-SDon-146500_M22_263,M22,d1,2,24:26:20,24:26:20,402102,1.0,1
MQ_A5-Weekday-SDon-146500_M22_263,M22,d1,3,24:26:52,24:26:52,402103,1.0,1
MQ_A5-Weekday-SDon-146500_M22_263,M22,d1,4,24:27:06,24:27:06,402104,1.0,1
MQ_A5-Weekday-SDon-146500_M22_263,M22,d1,5,24:28:03,24:28:03,402105,1.0,1
MQ_A5-Weekday-SDon-146500_M22_263,M22,d1,6,24:28:27,24:28:27,402106,1.0,1
MQ_A5-Weekday-SDon-146500_M22_263,M22,d1,7,24:29:03,24:29:03,402107,1.0,1
MQ_A5-Weekday-SDon-146500_M22_263,M22,d1,8,24:29:31,24:29:31,402108,1.0,1
MQ_A5-Weekday-SDon-146500_M22_263,M22,d1,9,24:30:00,24:30:00,402109,1.0,1
MQ_A5-Weekday-SDon-146500_M22_263,M22,d1,10,24:30:41,24:30:41,402110,1.0,1
MQ_A5-Weekday-SDon-146500_M22_263,M22,d1,11,24:32:22,24:32:22,401209,1.0,1
MQ_A5-Weekday-SDon-146500_M22_263,M22,d1,12,24:33:22,24:33:22,401210,1.0,1
MQ_A5-Weekday-SDon-146500_M22_263,M22,d1,13,24:34:00,24:34:00,403350,1.0,1
MQ_A5-Weekday-SDon-146500_M22_263,M22,d1,14,24:35:35,24:35:35,401806,1.0,1
MQ_A5-Weekday-SDon-146500_M22_263,M22,d1,15,24:37:00,24:37:00,401808,1.0,1
MQ_A5-Weekday-SDon-146500_M22_263,M22,d1,16,24:37:46,24:37:46,402118,1.0,1
MQ_A5-Weekday-SDon-146500_M22_263,M22,d1,17,24:38:19,24:38:19,402119,1.0,1
MQ_A5-Weekday-SDon-146500_M22_263,M22,d1,18,24:38:52,24:38:52,402120,1.0,1
MQ_A5-Weekday-SDon-146500_M22_263,M22,d1,19,24:39:55,24:39:55,402080,1.0,1
MQ_A5-Weekday-SDon-146500_M22_263,M22,d1,20,24:40:36,24:40:36,405062,1.0,1
MQ_A5-Weekday-SDon-146500_M22_263,M22,d1,21,24:41:23,24:41:23,405053,1.0,1
MQ_A5-Weekday-SDon-146500_M22_263,M22,d1,22,24:43:00,24:43:00,803094,1.0,1
MQ_A5-Weekday-138000_M22_263,M22,d0,1,23:00:00,23:00:00,405054,3.0,1
MQ_A5-Weekday-138000_M22_263,M22,d0,2,23:01:52,23:01:52,405056,3.0,1
MQ_A5-Weekday-138000_M22_263,M22,d0,3,23:03:49,23:03:49,404969,3.0,1
MQ_A5-Weekday-138000_M22_263,M22,d0,4,23:04:35,23:04:35,404976,3.0,1
MQ_A5-Weekday-138000_M22_263,M22,d0,5,23:05:16,23:05:16,404977,3.0,1
MQ_A5-Weekday-138000_M22_263,M22,d0,6,23:06:18,23:06:18,404219,3.0,1
MQ_A5-Weekday-138000_M22_263,M22,d0,7,23:09:00,23:09:00,903280,1.0,1
MQ_A5-Weekday-138000_M22_263,M22,d0,8,23:09:41,23:09:41,404101,3.0,1
MQ_A5-Weekday-138000_M22_263,M22,d0,9,23:10:58,23:10:58,402085,1.0,1
MQ_A5-Weekday-138000_M22_263,M22,d0,10,23:11:40,23:11:40,401670,3.0,1
MQ_A5-Weekday-138000_M22_263,M22,d0,11,23:13:00,23:13:00,402088,3.0,1
MQ_A5-Weekday-138000_M22_263,M22,d0,12,23:14:23,23:14:23,402090,3.0,1
