trip_id,route,direction,stop_sequence,arrival_time,departure_time,stop_id,estimated_passenger_count,required_pods
MQ_A5-Weekday-088800_M9_61,M9,d0,1,14:48:00,14:48:00,403399,5.0,1
MQ_A5-Weekday-088800_M9_61,M9,d0,2,14:53:36,14:53:36,803147,5.0,1
MQ_A5-Weekday-088800_M9_61,M9,d0,3,14:55:18,14:55:18,803105,7.0,1
MQ_A5-Weekday-088800_M9_61,M9,d0,4,14:59:00,14:59:00,903280,7.0,1
MQ_A5-Weekday-088800_M9_61,M9,d0,5,15:05:00,15:05:00,404857,14.0,1
MQ_A5-Weekday-088800_M9_61,M9,d0,6,15:06:08,15:06:08,405006,14.0,1
MQ_A5-Weekday-088800_M9_61,M9,d0,7,15:08:29,15:08:29,401168,14.0,1
MQ_A5-Weekday-088800_M9_61,M9,d0,8,15:09:31,15:09:31,401169,16.0,1
MQ_A5-Weekday-088800_M9_61,M9,d0,9,15:12:37,15:12:37,405165,16.0,1
MQ_A5-Weekday-088800_M9_61,M9,d0,10,15:14:00,15:14:00,403317,16.0,1
MQ_A5-Weekday-088800_M9_61,M9,d0,11,15:16:00,15:16:00,403732,16.0,1
MQ_A5-Weekday-088800_M9_61,M9,d0,12,15:20:00,15:20:00,402033,16.0,1
MQ_A5-Weekday-088800_M9_61,M9,d0,13,15:20:57,15:20:57,402034,16.0,1
MQ_A5-Weekday-088800_M9_61,M9,d0,14,15:22:34,15:22:34,404100,8.0,1
MQ_A5-Weekday-088800_M9_61,M9,d0,15,15:24:01,15:24:01,402036,11.0,1
MQ_A5-Weekday-088800_M9_61,M9,d0,16,15:25:21,15:25:21,402037,11.0,1
MQ_A5-Weekday-088800_M9_61,M9,d0,17,15:26:45,15:26:45,402038,11.0,1
MQ_A5-Weekday-088800_M9_61,M9,d0,18,15:28:51,15:28:51,402039,9.0,1
MQ_A5-Weekday-088800_M9_61,M9,d0,19,15:29:59,15:29:59,401630,3.0,1
MQ_A5-Weekday-088800_M9_61,M9,d0,20,15:31:00,15:31:00,402041,3.0,1
MQ_A5-Weekday-088800_M9_61,M9,d0,21,15:32:11,15:32:11,402042,3.0,1
MQ_A5-Weekday-088800_M9_61,M9,d0,22,15:33:08,15:33:08,402043,3.0,1
MQ_A5-Weekday-088800_M9_61,M9,d0,23,15:36:36,15:36:36,404099,3.0,1
MQ_A5-Weekday-088800_M9_61,M9,d0,24,15:39:33,15:39:33,405368,3.0,1
MQ_A5-Weekday-088800_M9_61,M9,d0,25,15:41:00,15:41:00,401691,3.0,1
MQ_A5-Weekday-079700_M9_53,M9,d0,1,13:17:00,13:17:00,405054,3.0,1
MQ_A5-Weekday-079700_M9_53,M9,d0,2,13:19:54,13:19:54,405056,3.0,1
MQ_A5-Weekday-079700_M9_53,M9,d0,3,13:22:57,13:22:57,404969,5.0,1
MQ_A5-Weekday-079700_M9_53,M9,d0,4,13:24:08,13:24:08,404976,6.0,1
MQ_A5-Weekday-079700_M9_53,M9,d0,5,13:25:12,13:25:12,404977,7.0,1
MQ_A5-Weekday-079700_M9_53,M9,d0,6,13:26:48,13:26:48,404219,6.0,1
MQ_A5-Weekday-079700_M9_53,M9,d0,7,13:31:00,13:31:00,903280,10.0,1
MQ_A5-Weekday-079700_M9_53,M9,d0,8,13:32:12,13:32:12,404101,9.0,1
MQ_A5-Weekday-079700_M9_53,M9,d0,9,13:34:27,13:34:27,402085,11.0,1
MQ_A5-Weekday-079700_M9_53,M9,d0,10,13:35:40,13:35:40,401670,10.0,1
MQ_A5-Weekday-079700_M9_53,M9,d0,11,13:38:00,13:38:00,402088,9.0,1
MQ_A5-Weekday-079700_M9_53,M9,d0,12,13:40:17,13:40:17,402090,16.0,1
MQ_A5-Weekday-079700_M9_53,M9,d0,13,13:41:31,13:41:31,402091,16.0,1
MQ_A5-Weekday-079700_M9_53,M9,d0,14,13:43:00,13:43:00,402092,16.0,1
MQ_A5-Weekday-079700_M9_53,M9,d0,15,13:43:37,13:43:37,402093,16.0,1
MQ_A5-Weekday-079700_M9_53,M9,d0,16,13:44:38,13:44:38,402094,16.0,1
MQ_A5-Weekday-079700_M9_53,M9,d0,17,13:45:37,13:45:37,402095,16.0,1
MQ_A5-Weekday-079700_M9_53,M9,d0,18,13:46:09,13:46:09,402096,12.0,1
MQ_A5-Weekday-079700_M9_53,M9,d0,19,13:47:06,13:47:06,402097,12.0,1
MQ_A5-Weekday-079700_M9_53,M9,d0,20,13:47:48,13:47:48,404922,8.0,1
MQ_A5-Weekday-079700_M9_53,M9,d0,21,13:49:00,13:49:00,903025,8.0,1
MQ_A5-Weekday-083000_M9_51,M9,d0,1,13:50:00,13:50:00,401528,1.0,1
MQ_A5-Weekday-083000_M9_51,M9,d0,2,13:51:09,13:51:09,401529,1.0,1
MQ_A5-Weekday-083000_M9_51,M9,d0,3,13:51:57,13:51:57,403313,3.0,1
MQ_A5-Weekday-083000_M9_51,M9,d0,4,13:53:00,13:53:00,403312,7.0,1
MQ_A5-Weekday-083000_M9_51,M9,d0,5,13:54:01,13:54:01,401531,7.0,1
MQ_A5-Weekday-083000_M9_51,M9,d0,6,13:55:05,13:55:05,401532,8.0,1
MQ_A5-Weekday-083000_M9_51,M9,d0,7,13:56:05,13:56:05,401533,8.0,1
MQ_A5-Weekday-083000_M9_51,M9,d0,8,13:57:15,13:57:15,401535,8.0,1
MQ_A5-Weekday-083000_M9_51,M9,d0,9,13:58:00,13:58:00,401536,5.0,1
MQ_A5-Weekday-083000_M9_51,M9,d0,10,14:00:11,14:00:11,401538,9.0,1
MQ_A5-Weekday-083000_M9_51,M9,d0,11,14:02:08,14:02:08,400336,9.0,1
MQ_A5-Weekday-083000_M9_51,M9,d0,12,14:03:51,14:03:51,400337,11.0,1
MQ_A5-Weekday-083000_M9_51,M9,d0,13,14:05:00,14:05:00,404010,11.0,1
MQ_A5-Weekday-083000_M9_51,M9,d0,14,14:05:57,14:05:57,401542,9.0,1
MQ_A5-Weekday-083000_M9_51,M9,d0,15,14:07:36,14:07:36,401543,8.0,1
MQ_A5-Weekday-083000_M9_51,M9,d0,16,14:09:49,14:09:49,401544,5.0,1
MQ_A5-Weekday-083000_M9_51,M9,d0,17,14:11:00,14:11:00,401545,5.0,1
MQ_A5-Weekday-083000_M9_51,M9,d0,18,14:11:48,14:11:48,401547,4.0,1
MQ_A5-Weekday-083000_M9_51,M9,d0,19,14:12:39,14:12:39,401548,4.0,1
MQ_A5-Weekday-083000_M9_51,M9,d0,20,14:13:32,14:13:32,401549,3.0,1
MQ_A5-Weekday-083000_M9_51,M9,d0,21,14:14:15,14:14:15,401591,3.0,1
MQ_A5-Weekday-083000_M9_51,M9,d0,22,14:15:00,14:15:00,803177,3.0,1
MQ_A5-Weekday-091200_M9_65,M9,d0,1,15:12:00,15:12:00,403399,2.0,1
MQ_A5-Weekday-091200_M9_65,M9,d0,2,15:17:36,15:17:36,803147,2.0,1
MQ_A5-Weekday-091200_M9_65,M9,d0,3,15:19:18,15:19:18,803105,4.0,1
