trip_id,arrival_time,stop_id,stop_sequence,Required_Pods,pod_id,label,Node_id
OF_A5-Weekday-030700_M1_101,5:07:00,400080,1,1,1,requester,30705
OF_A5-Weekday-030700_M1_101,6:00:00,803003,65,1,1,releaser,30705
OF_A5-Weekday-032700_M1_102,5:27:00,400080,1,1,1,requester,30715
OF_A5-Weekday-032700_M1_102,6:20:00,803003,65,1,1,releaser,30715
OF_A5-Weekday-034700_M1_103,5:47:00,400080,1,1,1,requester,30725
OF_A5-Weekday-034700_M1_103,6:07:03,400021,20,2,2,requester,30726
OF_A5-Weekday-034700_M1_103,6:11:33,405490,25,2,2,releaser,30726
OF_A5-Weekday-034700_M1_103,6:13:04,404905,28,2,2,requester,30727
OF_A5-Weekday-034700_M1_103,6:20:00,404191,38,2,2,releaser,30727
OF_A5-Weekday-034700_M1_103,6:40:00,803003,65,1,1,releaser,30725
OF_A5-Weekday-036700_M1_104,6:07:00,400080,1,1,1,requester,30752
OF_A5-Weekday-036700_M1_104,6:21:27,400190,15,2,2,requester,30753
OF_A5-Weekday-036700_M1_104,6:35:45,400033,32,2,2,releaser,30753
OF_A5-Weekday-036700_M1_104,6:37:37,400036,34,2,2,requester,30754
OF_A5-Weekday-036700_M1_104,6:39:28,400039,37,2,2,releaser,30754
OF_A5-Weekday-036700_M1_104,7:00:00,803003,65,1,1,releaser,30752
OF_A5-Weekday-038700_M1_105,6:27:00,400080,1,1,1,requester,30790
OF_A5-Weekday-038700_M1_105,6:37:16,403316,12,2,2,requester,30791
OF_A5-Weekday-038700_M1_105,6:52:32,400028,27,2,2,releaser,30791
OF_A5-Weekday-038700_M1_105,7:32:00,803003,65,1,1,releaser,30790
OF_A5-Weekday-040200_M1_106,6:42:00,400080,1,1,1,requester,30813
OF_A5-Weekday-040200_M1_106,7:57:00,803003,65,1,1,releaser,30813
OF_A5-Weekday-041700_M1_107,6:57:00,400080,1,1,1,requester,30856
OF_A5-Weekday-041700_M1_107,7:46:25,400032,31,2,2,requester,30857
OF_A5-Weekday-041700_M1_107,7:49:17,400034,33,3,3,requester,30858
OF_A5-Weekday-041700_M1_107,7:54:56,400039,37,3,2,releaser,30857
OF_A5-Weekday-041700_M1_107,7:54:56,400039,37,3,3,releaser,30858
OF_A5-Weekday-041700_M1_107,8:28:00,803003,65,1,1,releaser,30856
OF_A5-Weekday-043100_M1_108,7:11:00,400080,1,1,1,requester,30896
