stop_sequence,arrival_time,departure_time,stop_id,estimated_passenger_count,required_pods
1,7:54:00,7:54:00,403560,8.0,3
2,7:54:28,7:54:28,401930,34.0,3
3,7:55:08,7:55:08,401897,34.0,4
4,7:56:35,7:56:35,401898,59.0,4
5,7:58:01,7:58:01,401899,59.0,4
6,8:00:34,8:00:34,401900,59.0,4
7,8:03:00,8:03:00,401901,34.0,3
8,8:05:05,8:05:05,401903,34.0,3
9,8:07:38,8:07:38,401905,34.0,3
10,8:08:47,8:08:47,401906,34.0,3
11,8:10:15,8:10:15,404681,34.0,3
12,8:11:41,8:11:41,401908,34.0,3
13,8:13:35,8:13:35,401909,34.0,3
14,8:14:39,8:14:39,401910,34.0,3
15,8:16:19,8:16:19,403367,2.0,1
16,8:18:00,8:18:00,403383,2.0,1
