stop_sequence,arrival_time,departure_time,stop_id,estimated_passenger_count,required_pods
1,12:59:00,12:59:00,401880,7.0,2
2,13:00:49,13:00:49,401881,20.0,2
3,13:02:02,13:02:02,401882,20.0,2
4,13:04:27,13:04:27,401883,28.0,3
5,13:06:18,13:06:18,401884,35.0,3
6,13:07:26,13:07:26,404860,35.0,3
7,13:09:38,13:09:38,401887,33.0,3
8,13:11:00,13:11:00,403989,39.0,3
9,13:13:26,13:13:26,401889,39.0,3
10,13:15:55,13:15:55,401890,30.0,2
11,13:17:20,13:17:20,404838,30.0,2
12,13:18:57,13:18:57,403733,30.0,2
13,13:20:00,13:20:00,401893,9.0,1
14,13:30:00,13:30:00,903286,9.0,1
