stop_sequence,arrival_time,departure_time,stop_id,estimated_passenger_count,required_pods
1,8:45:00,8:45:00,401732,6.0,2
2,8:45:56,8:45:56,401738,22.0,2
3,8:50:16,8:50:16,405348,15.0,3
4,8:54:40,8:54:40,405653,36.0,3
5,8:58:00,8:58:00,803182,23.0,2
6,9:03:15,9:03:15,903129,29.0,3
7,9:07:38,9:07:38,401756,43.0,3
8,9:13:38,9:13:38,401761,40.0,3
9,9:19:41,9:19:41,401765,40.0,3
10,9:23:27,9:23:27,401768,34.0,3
11,9:27:53,9:27:53,401771,19.0,2
12,9:32:27,9:32:27,405342,14.0,2
13,9:35:16,9:35:16,403525,17.0,2
14,9:38:14,9:38:14,401779,15.0,1
15,9:43:12,9:43:12,405340,15.0,1
16,9:50:30,9:50:30,803109,15.0,1
17,9:52:00,9:52:00,403849,15.0,1
