stop_sequence,arrival_time,departure_time,stop_id,estimated_passenger_count,required_pods
1,17:44:00,17:44:00,405003,28.0,2
2,17:44:58,17:44:58,401916,28.0,2
3,17:47:26,17:47:26,404859,28.0,2
4,17:49:09,17:49:09,401919,28.0,2
5,17:51:14,17:51:14,401920,28.0,2
6,17:52:42,17:52:42,401921,28.0,2
7,17:54:17,17:54:17,401922,28.0,2
8,17:55:51,17:55:51,401924,28.0,2
9,17:57:00,17:57:00,401925,21.0,2
10,17:59:51,17:59:51,401926,21.0,2
11,18:03:14,18:03:14,401927,21.0,2
12,18:04:33,18:04:33,404308,6.0,1
13,18:05:52,18:05:52,401929,6.0,1
14,18:06:40,18:06:40,803166,6.0,1
15,18:08:00,18:08:00,403518,6.0,1
