stop_sequence,arrival_time,departure_time,stop_id,estimated_passenger_count,required_pods
1,7:16:00,7:16:00,404911,5.0,1
2,7:16:53,7:16:53,401036,5.0,1
3,7:18:00,7:18:00,401037,5.0,1
4,7:19:09,7:19:09,401038,5.0,1
5,7:20:47,7:20:47,401039,5.0,1
6,7:22:08,7:22:08,405087,2.0,1
7,7:23:52,7:23:52,405092,2.0,1
8,7:25:31,7:25:31,400394,2.0,2
9,7:27:00,7:27:00,401044,19.0,2
10,7:29:07,7:29:07,401045,10.0,2
11,7:31:00,7:31:00,401988,17.0,2
12,7:33:06,7:33:06,401989,21.0,2
13,7:35:00,7:35:00,401990,21.0,2
14,7:37:29,7:37:29,401992,12.0,2
15,7:39:31,7:39:31,401993,20.0,2
16,7:41:09,7:41:09,401994,16.0,1
17,7:44:00,7:44:00,401727,12.0,1
18,7:44:17,7:44:17,401729,12.0,1
19,7:44:26,7:44:26,401730,9.0,1
20,7:45:00,7:45:00,803059,9.0,1
