stop_sequence,arrival_time,departure_time,stop_id,estimated_passenger_count,required_pods
1,15:13:00,15:13:00,803055,3.0,1
2,15:13:37,15:13:37,402160,3.0,1
3,15:14:41,15:14:41,402161,3.0,1
4,15:15:24,15:15:24,402162,15.0,1
5,15:16:05,15:16:05,402163,15.0,2
6,15:17:00,15:17:00,402164,28.0,2
7,15:18:57,15:18:57,402165,28.0,2
8,15:20:43,15:20:43,402166,28.0,2
9,15:23:00,15:23:00,402167,28.0,2
10,15:25:38,15:25:38,403760,28.0,2
11,15:29:27,15:29:27,402169,12.0,2
12,15:33:00,15:33:00,402171,27.0,2
13,15:35:15,15:35:15,402172,13.0,1
14,15:39:38,15:39:38,402173,13.0,1
15,15:41:49,15:41:49,402174,7.0,1
16,15:44:00,15:44:00,402175,12.0,1
17,15:46:00,15:46:00,803151,12.0,1
