stop_sequence,arrival_time,departure_time,stop_id,estimated_passenger_count,required_pods
1,18:25:00,18:25:00,401880,12.0,1
2,18:26:40,18:26:40,401881,12.0,1
3,18:27:47,18:27:47,401882,12.0,1
4,18:30:00,18:30:00,401883,12.0,2
5,18:31:41,18:31:41,401884,17.0,2
6,18:32:44,18:32:44,404860,17.0,2
7,18:34:45,18:34:45,401887,17.0,2
8,18:36:00,18:36:00,403989,27.0,2
9,18:38:10,18:38:10,401889,27.0,2
10,18:40:22,18:40:22,401890,17.0,2
11,18:41:38,18:41:38,404838,16.0,1
12,18:43:04,18:43:04,403733,12.0,1
13,18:44:00,18:44:00,401893,11.0,1
14,18:56:00,18:56:00,903286,11.0,1
