stop_sequence,arrival_time,departure_time,stop_id,estimated_passenger_count,required_pods
1,8:31:00,8:31:00,401880,14.0,2
2,8:32:40,8:32:40,401881,18.0,2
3,8:33:47,8:33:47,401882,18.0,2
4,8:36:00,8:36:00,401883,18.0,2
5,8:37:41,8:37:41,401884,25.0,2
6,8:38:44,8:38:44,404860,25.0,2
7,8:40:45,8:40:45,401887,25.0,2
8,8:42:00,8:42:00,403989,23.0,2
9,8:44:26,8:44:26,401889,23.0,2
10,8:46:55,8:46:55,401890,15.0,1
11,8:48:20,8:48:20,404838,3.0,1
12,8:49:57,8:49:57,403733,8.0,1
13,8:51:00,8:51:00,401893,8.0,1
14,9:03:00,9:03:00,903286,8.0,1
