stop_sequence,arrival_time,departure_time,stop_id,estimated_passenger_count,required_pods
1,10:52:00,10:52:00,401880,10.0,1
2,10:53:40,10:53:40,401881,6.0,1
3,10:54:47,10:54:47,401882,16.0,1
4,10:57:00,10:57:00,401883,7.0,2
5,10:58:41,10:58:41,401884,31.0,3
6,10:59:44,10:59:44,404860,39.0,3
7,11:01:45,11:01:45,401887,44.0,3
8,11:03:00,11:03:00,403989,42.0,3
9,11:05:26,11:05:26,401889,42.0,3
10,11:07:55,11:07:55,401890,25.0,2
11,11:09:20,11:09:20,404838,25.0,2
12,11:10:57,11:10:57,403733,19.0,2
13,11:12:00,11:12:00,401893,3.0,1
14,11:22:00,11:22:00,903286,3.0,1
