stop_sequence,arrival_time,departure_time,stop_id,estimated_passenger_count,required_pods
1,11:58:00,11:58:00,404911,8.0,1
2,11:58:53,11:58:53,401036,8.0,1
3,12:00:00,12:00:00,401037,8.0,1
4,12:01:09,12:01:09,401038,8.0,1
5,12:02:47,12:02:47,401039,9.0,1
6,12:04:08,12:04:08,405087,16.0,1
7,12:05:52,12:05:52,405092,16.0,1
8,12:07:31,12:07:31,400394,16.0,1
9,12:09:00,12:09:00,401044,16.0,1
10,12:11:07,12:11:07,401045,16.0,2
11,12:13:00,12:13:00,401988,17.0,2
12,12:15:06,12:15:06,401989,18.0,2
13,12:17:00,12:17:00,401990,18.0,2
14,12:19:29,12:19:29,401992,18.0,2
15,12:21:31,12:21:31,401993,18.0,2
16,12:23:09,12:23:09,401994,4.0,1
17,12:26:00,12:26:00,401727,4.0,1
18,12:26:17,12:26:17,401729,4.0,1
19,12:26:26,12:26:26,401730,3.0,1
20,12:27:00,12:27:00,803059,3.0,1
