stop_sequence,arrival_time,departure_time,stop_id,estimated_passenger_count,required_pods
1,9:52:00,9:52:00,404137,2.0,1
2,9:53:50,9:53:50,404927,2.0,1
3,9:55:26,9:55:26,404834,2.0,1
4,9:57:16,9:57:16,402124,6.0,1
5,9:59:05,9:59:05,402125,6.0,1
6,10:00:53,10:00:53,402126,12.0,1
7,10:02:36,10:02:36,402127,16.0,2
8,10:05:00,10:05:00,402128,23.0,2
9,10:06:59,10:06:59,402130,23.0,2
10,10:08:52,10:08:52,402132,22.0,2
11,10:11:02,10:11:02,402134,22.0,2
12,10:12:30,10:12:30,401832,16.0,1
13,10:14:03,10:14:03,401833,7.0,1
14,10:16:18,10:16:18,404264,7.0,1
15,10:18:00,10:18:00,903002,7.0,1
