stop_sequence,arrival_time,departure_time,stop_id,estimated_passenger_count,required_pods
1,17:30:00,17:30:00,405382,26.0,2
2,17:33:55,17:33:55,405318,27.0,4
3,17:36:10,17:36:10,403601,61.0,4
4,17:39:48,17:39:48,405319,61.0,4
5,17:44:47,17:44:47,405320,46.0,4
6,17:49:00,17:49:00,903093,49.0,4
7,17:53:00,17:53:00,405322,7.0,2
8,17:56:16,17:56:16,405323,29.0,2
9,17:57:41,17:57:41,404995,7.0,1
10,17:59:41,17:59:41,403480,7.0,1
11,18:02:34,18:02:34,401698,12.0,4
12,18:04:58,18:04:58,401701,64.0,4
13,18:07:53,18:07:53,401704,8.0,3
14,18:11:14,18:11:14,401707,43.0,3
15,18:15:33,18:15:33,401712,31.0,2
16,18:18:04,18:18:04,401715,12.0,2
17,18:22:00,18:22:00,903102,27.0,2
18,18:24:35,18:24:35,401723,16.0,1
19,18:27:34,18:27:34,401727,12.0,1
20,18:30:00,18:30:00,401731,7.0,1
21,18:32:00,18:32:00,803054,7.0,1
