stop_sequence,arrival_time,departure_time,stop_id,estimated_passenger_count,required_pods
1,8:59:00,8:59:00,403249,3.0,1
2,9:00:30,9:00:30,403251,6.0,1
3,9:01:59,9:01:59,403252,10.0,1
4,9:03:22,9:03:22,403253,12.0,2
5,9:05:00,9:05:00,904041,18.0,2
6,9:06:40,9:06:40,403805,10.0,2
7,9:07:29,9:07:29,403257,21.0,2
8,9:09:47,9:09:47,403830,22.0,2
9,9:11:00,9:11:00,403354,22.0,3
10,9:12:13,9:12:13,403259,37.0,3
11,9:15:00,9:15:00,401851,11.0,3
12,9:16:15,9:16:15,401852,34.0,3
13,9:17:40,9:17:40,401853,20.0,2
14,9:18:45,9:18:45,403486,20.0,2
15,9:20:09,9:20:09,405118,6.0,1
16,9:21:00,9:21:00,903082,6.0,1
