stop_sequence,arrival_time,departure_time,stop_id,estimated_passenger_count,required_pods
1,23:10:00,23:10:00,404362,1.0,1
2,23:10:51,23:10:51,403791,1.0,1
3,23:12:00,23:12:00,402653,1.0,1
4,23:13:04,23:13:04,402723,1.0,1
5,23:14:23,23:14:23,405416,6.0,1
6,23:15:00,23:15:00,402657,7.0,1
7,23:16:23,23:16:23,402658,7.0,1
8,23:17:44,23:17:44,402659,12.0,1
9,23:19:15,23:19:15,402660,12.0,1
10,23:20:00,23:20:00,402661,12.0,1
11,23:21:25,23:21:25,402662,12.0,1
12,23:22:39,23:22:39,403671,16.0,2
13,23:24:00,23:24:00,403672,19.0,2
14,23:24:38,23:24:38,403673,18.0,2
15,23:25:31,23:25:31,403674,22.0,2
16,23:30:00,23:30:00,101014,20.0,2
17,23:31:32,23:31:32,101015,15.0,1
18,23:33:47,23:33:47,101017,14.0,1
19,23:34:54,23:34:54,101018,11.0,1
20,23:37:00,23:37:00,103708,11.0,1
