stop_sequence,arrival_time,departure_time,stop_id,estimated_passenger_count,required_pods
1,6:57:00,6:57:00,401732,8.0,1
2,6:57:47,6:57:47,401738,8.0,2
3,7:01:27,7:01:27,405348,17.0,2
4,7:05:11,7:05:11,405653,17.0,2
5,7:08:00,7:08:00,803182,14.0,1
6,7:11:48,7:11:48,903129,13.0,2
7,7:14:58,7:14:58,401756,18.0,2
8,7:19:17,7:19:17,401761,16.0,1
9,7:23:40,7:23:40,401765,10.0,1
10,7:26:23,7:26:23,401768,10.0,1
11,7:29:35,7:29:35,401771,11.0,1
12,7:32:53,7:32:53,405342,7.0,1
13,7:34:55,7:34:55,403525,9.0,1
14,7:37:03,7:37:03,401779,5.0,1
15,7:40:39,7:40:39,405340,6.0,1
16,7:45:55,7:45:55,803109,6.0,1
17,7:47:00,7:47:00,403849,6.0,1
